name,category,path,tags,popularity
android_cell_dual_5_bar_alert,_other,/static/app/icon_library/icons/_other/android_cell_dual_5_bar_alert.svg,,0
android_cell_dual_5_bar_plus,_other,/static/app/icon_library/icons/_other/android_cell_dual_5_bar_plus.svg,,0
android_wifi_3_bar,_other,/static/app/icon_library/icons/_other/android_wifi_3_bar.svg,,0
android_wifi_3_bar_alert,_other,/static/app/icon_library/icons/_other/android_wifi_3_bar_alert.svg,,0
android_wifi_3_bar_lock,_other,/static/app/icon_library/icons/_other/android_wifi_3_bar_lock.svg,,0
android_wifi_3_bar_off,_other,/static/app/icon_library/icons/_other/android_wifi_3_bar_off.svg,,0
android_wifi_3_bar_plus,_other,/static/app/icon_library/icons/_other/android_wifi_3_bar_plus.svg,,0
android_wifi_3_bar_question,_other,/static/app/icon_library/icons/_other/android_wifi_3_bar_question.svg,,0
android_wifi_4_bar,_other,/static/app/icon_library/icons/_other/android_wifi_4_bar.svg,,0
android_wifi_4_bar_alert,_other,/static/app/icon_library/icons/_other/android_wifi_4_bar_alert.svg,,0
android_wifi_4_bar_lock,_other,/static/app/icon_library/icons/_other/android_wifi_4_bar_lock.svg,,0
android_wifi_4_bar_off,_other,/static/app/icon_library/icons/_other/android_wifi_4_bar_off.svg,,0
android_wifi_4_bar_plus,_other,/static/app/icon_library/icons/_other/android_wifi_4_bar_plus.svg,,0
android_wifi_4_bar_question,_other,/static/app/icon_library/icons/_other/android_wifi_4_bar_question.svg,,0
animated_images,_other,/static/app/icon_library/icons/_other/animated_images.svg,,0
antigravity,_other,/static/app/icon_library/icons/_other/antigravity.svg,,0
aod_tablet,_other,/static/app/icon_library/icons/_other/aod_tablet.svg,,0
aod_watch,_other,/static/app/icon_library/icons/_other/aod_watch.svg,,0
apk_document,_other,/static/app/icon_library/icons/_other/apk_document.svg,,0
apk_install,_other,/static/app/icon_library/icons/_other/apk_install.svg,,0
app_badging,_other,/static/app/icon_library/icons/_other/app_badging.svg,,0
apparel,_other,/static/app/icon_library/icons/_other/apparel.svg,,0
approval_delegation,_other,/static/app/icon_library/icons/_other/approval_delegation.svg,,0
approval_delegation_off,_other,/static/app/icon_library/icons/_other/approval_delegation_off.svg,,0
aq,_other,/static/app/icon_library/icons/_other/aq.svg,,0
aq_indoor,_other,/static/app/icon_library/icons/_other/aq_indoor.svg,,0
ar_on_you,_other,/static/app/icon_library/icons/_other/ar_on_you.svg,,0
ar_stickers,_other,/static/app/icon_library/icons/_other/ar_stickers.svg,,0
arming_countdown,_other,/static/app/icon_library/icons/_other/arming_countdown.svg,,0
arrow_and_edge,_other,/static/app/icon_library/icons/_other/arrow_and_edge.svg,,0
arrow_back_2,_other,/static/app/icon_library/icons/_other/arrow_back_2.svg,,0
arrow_cool_down,_other,/static/app/icon_library/icons/_other/arrow_cool_down.svg,,0
arrow_downward_alt,_other,/static/app/icon_library/icons/_other/arrow_downward_alt.svg,,0
arrow_insert,_other,/static/app/icon_library/icons/_other/arrow_insert.svg,,0
arrow_left_alt,_other,/static/app/icon_library/icons/_other/arrow_left_alt.svg,,0
arrow_menu_close,_other,/static/app/icon_library/icons/_other/arrow_menu_close.svg,,0
arrow_menu_open,_other,/static/app/icon_library/icons/_other/arrow_menu_open.svg,,0
arrow_or_edge,_other,/static/app/icon_library/icons/_other/arrow_or_edge.svg,,0
arrow_range,_other,/static/app/icon_library/icons/_other/arrow_range.svg,,0
arrow_selector_tool,_other,/static/app/icon_library/icons/_other/arrow_selector_tool.svg,,0
arrow_shape_up,_other,/static/app/icon_library/icons/_other/arrow_shape_up.svg,,0
arrow_shape_up_stack,_other,/static/app/icon_library/icons/_other/arrow_shape_up_stack.svg,,0
arrow_shape_up_stack_2,_other,/static/app/icon_library/icons/_other/arrow_shape_up_stack_2.svg,,0
arrow_split,_other,/static/app/icon_library/icons/_other/arrow_split.svg,,0
arrow_top_left,_other,/static/app/icon_library/icons/_other/arrow_top_left.svg,,0
arrow_top_right,_other,/static/app/icon_library/icons/_other/arrow_top_right.svg,,0
arrow_upload_progress,_other,/static/app/icon_library/icons/_other/arrow_upload_progress.svg,,0
arrow_upload_ready,_other,/static/app/icon_library/icons/_other/arrow_upload_ready.svg,,0
arrow_upward_alt,_other,/static/app/icon_library/icons/_other/arrow_upward_alt.svg,,0
arrow_warm_up,_other,/static/app/icon_library/icons/_other/arrow_warm_up.svg,,0
arrows_input,_other,/static/app/icon_library/icons/_other/arrows_input.svg,,0
arrows_left_right_circle,_other,/static/app/icon_library/icons/_other/arrows_left_right_circle.svg,,0
arrows_more_down,_other,/static/app/icon_library/icons/_other/arrows_more_down.svg,,0
arrows_more_up,_other,/static/app/icon_library/icons/_other/arrows_more_up.svg,,0
arrows_output,_other,/static/app/icon_library/icons/_other/arrows_output.svg,,0
arrows_outward,_other,/static/app/icon_library/icons/_other/arrows_outward.svg,,0
arrows_up_down_circle,_other,/static/app/icon_library/icons/_other/arrows_up_down_circle.svg,,0
article_person,_other,/static/app/icon_library/icons/_other/article_person.svg,,0
article_shortcut,_other,/static/app/icon_library/icons/_other/article_shortcut.svg,,0
artist,_other,/static/app/icon_library/icons/_other/artist.svg,,0
assignment_add,_other,/static/app/icon_library/icons/_other/assignment_add.svg,,0
assignment_globe,_other,/static/app/icon_library/icons/_other/assignment_globe.svg,,0
assistant_device,_other,/static/app/icon_library/icons/_other/assistant_device.svg,,0
assistant_navigation,_other,/static/app/icon_library/icons/_other/assistant_navigation.svg,,0
assistant_on_hub,_other,/static/app/icon_library/icons/_other/assistant_on_hub.svg,,0
asterisk,_other,/static/app/icon_library/icons/_other/asterisk.svg,,0
atr,_other,/static/app/icon_library/icons/_other/atr.svg,,0
attach_file_add,_other,/static/app/icon_library/icons/_other/attach_file_add.svg,,0
attach_file_off,_other,/static/app/icon_library/icons/_other/attach_file_off.svg,,0
audio_description,_other,/static/app/icon_library/icons/_other/audio_description.svg,,0
audio_video_receiver,_other,/static/app/icon_library/icons/_other/audio_video_receiver.svg,,0
auto_read_pause,_other,/static/app/icon_library/icons/_other/auto_read_pause.svg,,0
auto_read_play,_other,/static/app/icon_library/icons/_other/auto_read_play.svg,,0
auto_stories_off,_other,/static/app/icon_library/icons/_other/auto_stories_off.svg,,0
auto_towing,_other,/static/app/icon_library/icons/_other/auto_towing.svg,,0
auto_transmission,_other,/static/app/icon_library/icons/_other/auto_transmission.svg,,0
automation,_other,/static/app/icon_library/icons/_other/automation.svg,,0
autopause,_other,/static/app/icon_library/icons/_other/autopause.svg,,0
autoplay,_other,/static/app/icon_library/icons/_other/autoplay.svg,,0
autostop,_other,/static/app/icon_library/icons/_other/autostop.svg,,0
av1,_other,/static/app/icon_library/icons/_other/av1.svg,,0
avc,_other,/static/app/icon_library/icons/_other/avc.svg,,0
avg_pace,_other,/static/app/icon_library/icons/_other/avg_pace.svg,,0
avg_time,_other,/static/app/icon_library/icons/_other/avg_time.svg,,0
avocado_bean,_other,/static/app/icon_library/icons/_other/avocado_bean.svg,,0
award_meal,_other,/static/app/icon_library/icons/_other/award_meal.svg,,0
award_star,_other,/static/app/icon_library/icons/_other/award_star.svg,,0
azm,_other,/static/app/icon_library/icons/_other/azm.svg,,0
b_circle,_other,/static/app/icon_library/icons/_other/b_circle.svg,,0
back_to_tab,_other,/static/app/icon_library/icons/_other/back_to_tab.svg,,0
background_dot_large,_other,/static/app/icon_library/icons/_other/background_dot_large.svg,,0
